universityCode,displayName,reading,aliases,sourceTitle,sourceUrl,status,notes
3367,相模女子大,,,,,review,さがみじょしだい
3368,産業能率大,,,,,review,さんぎょうのうりつだい
3369,湘南工科大,,,,,review,しょうなんこうかだい
3370,昭和音大,,,,,review,しょうわおんだい
3371,マリアンナ医大,,,,,review,まりあんないだい
3372,洗足学園音大,,,,,review,せんぞくがくえんおんだい
3373,鶴見大,,,,,review,つるみだい
3374,桐蔭横浜大,,,,,review,とういんよこはまだい
3375,東京工芸大,,,,,review,とうきょうこうげいだい
3376,東洋英和女学大,,,,,review,とうようえいわじょがくだい
3377,フェリス女大,,,,,review,ふぇりすおんなだい
3378,横浜商大,,,,,review,よこはましょうだい
3379,松蔭大,,,,,review,しょういんだい
3380,田園調布学園大,,,,,review,でんえんちょうふがくえんだい
3381,横浜薬大,,,,,review,よこはまやくだい
3382,横浜美大,,,,,review,よこはまびだい
3383,日本映画大,,,,,review,にほんえいがだい
3384,横浜創英大,,,,,review,よこはまそうえいだい
3385,湘南医療大,,,,,review,しょうなんいりょうだい
3386,湘南鎌倉医療大,,,,,review,しょうなんかまくらいりょうだい
3387,ビューティ職大,,,,,review,びゅーてぃしょくだい
3388,グロＢｉｚ職大,,,,,review,ぐろＢｉｚしょくだい
3401,敬和学園大,,,,,review,けいわがくえんだい
3403,新潟経営大,,,,,review,にいがたけいえいだい
3404,新潟国際情報大,,,,,review,にいがたこくさいじょうほうだい
3405,新潟産大,,,,,review,にいがたさんだい
3406,新潟薬大,,,,,review,にいがたやくだい
3407,新潟工科大,,,,,review,にいがたこうかだい
3408,新潟青陵大,,,,,review,にいがたせいりょうだい
3409,長岡大,,,,,review,ながおかまさる
3410,新潟医療福祉大,,,,,review,にいがたいりょうふくしだい
3411,新潟リハビリ大,,,,,review,にいがたりはびりだい
3412,新潟食料農業大,,,,,review,にいがたしょくりょうのうぎょうだい
3413,長岡崇徳大,,,,,review,ながおかすとくだい
3414,開志専門職大,,,,,review,かいこころざしせんもんしょくだい
3417,富山国際大,,,,,review,とやまこくさいだい
